Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.002,
Sample Interval,2e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,1,1
Label,,
TIME,CH1,CH2
-1.1120e-03,0.04,0.04
-1.1100e-03,0.12,0.08
-1.1080e-03,0.08,0.04
-1.1060e-03,0.08,0.04
-1.1040e-03,0.04,0.04
-1.1020e-03,0.12,0.04
-1.1000e-03,0.12,0.08
-1.0980e-03,0.12,0.08
-1.0960e-03,0.08,-0.04
-1.0940e-03,0.12,0.04
-1.0920e-03,0.08,0.04
-1.0900e-03,0.12,0.04
-1.0880e-03,0,0.04
-1.0860e-03,0.04,0.04
-1.0840e-03,0.04,0.04
-1.0820e-03,-0.04,-0.04
-1.0800e-03,0.08,0
-1.0780e-03,0.12,0
-1.0760e-03,0.08,0
-1.0740e-03,0.08,0
-1.0720e-03,0.12,-0.04
-1.0700e-03,0.04,0.12
-1.0680e-03,0.08,-0.04
-1.0660e-03,0.04,0.04
-1.0640e-03,0.08,0.04
-1.0620e-03,0.08,0
-1.0600e-03,0.12,0
-1.0580e-03,0,0
-1.0560e-03,0.12,0
-1.0540e-03,0.04,0.04
-1.0520e-03,0.04,0.04
-1.0500e-03,0.12,0.08
-1.0480e-03,0.08,0.04
-1.0460e-03,0,0.08
-1.0440e-03,0.04,0.08
-1.0420e-03,0,0
-1.0400e-03,0.08,0
-1.0380e-03,0.04,0.08
-1.0360e-03,0.04,0.12
-1.0340e-03,0.08,-0.04
-1.0320e-03,0,-0.04
-1.0300e-03,0.04,0.04
-1.0280e-03,0.04,0
-1.0260e-03,0.04,0.08
-1.0240e-03,0.04,0.08
-1.0220e-03,0.12,-0.04
-1.0200e-03,0,0.08
-1.0180e-03,0,0.08
-1.0160e-03,0.04,0
-1.0140e-03,0.04,0.04
-1.0120e-03,0.12,0.04
-1.0100e-03,0.08,0
-1.0080e-03,0.08,0.04
-1.0060e-03,0.12,0.04
-1.0040e-03,0.08,0
-1.0020e-03,0,0
-1.0000e-03,0.08,0.04
-9.9800e-04,0.08,0.04
-9.9600e-04,0.08,0.04
-9.9400e-04,0.04,0
-9.9200e-04,0.08,0
-9.9000e-04,0,0.08
-9.8800e-04,0.04,0.12
-9.8600e-04,0.04,0.08
-9.8400e-04,0,0.04
-9.8200e-04,0.04,0
-9.8000e-04,0.08,0.04
-9.7800e-04,0.04,0.04
-9.7600e-04,0.08,0.08
-9.7400e-04,0.08,0
-9.7200e-04,0.04,0.04
-9.7000e-04,0.04,0
-9.6800e-04,0.12,0.08
-9.6600e-04,-0.04,0
-9.6400e-04,0.08,0.04
-9.6200e-04,0.04,0
-9.6000e-04,0.12,0.04
-9.5800e-04,0.04,0
-9.5600e-04,0,0
-9.5400e-04,0,0.04
-9.5200e-04,0,0.04
-9.5000e-04,0.04,0.12
-9.4800e-04,0.12,0
-9.4600e-04,0.04,0.04
-9.4400e-04,0.04,0
-9.4200e-04,0.04,0.08
-9.4000e-04,0.08,0
-9.3800e-04,0,0.08
-9.3600e-04,0.12,0
-9.3400e-04,0.08,0.12
-9.3200e-04,0.04,-0.04
-9.3000e-04,0.04,-0.04
-9.2800e-04,0.04,0.04
-9.2600e-04,0,0.04
-9.2400e-04,0.08,0.04
-9.2200e-04,0.04,0
-9.2000e-04,0,0.04
-9.1800e-04,0.04,0
-9.1600e-04,0.08,0.08
-9.1400e-04,0.08,0.08
-9.1200e-04,0.04,0.08
-9.1000e-04,0.16,0.04
-9.0800e-04,0.08,0
-9.0600e-04,0.04,0.08
-9.0400e-04,0.08,0.08
-9.0200e-04,0.04,0.04
-9.0000e-04,0.04,0.04
-8.9800e-04,0.04,0
-8.9600e-04,0.12,0.04
-8.9400e-04,0,0.08
-8.9200e-04,0.08,0.08
-8.9000e-04,0.04,0.04
-8.8800e-04,0.04,0.08
-8.8600e-04,0.04,0.08
-8.8400e-04,0.08,0.08
-8.8200e-04,0.12,0
-8.8000e-04,0.04,0.12
-8.7800e-04,0.04,0
-8.7600e-04,0,0.04
-8.7400e-04,0.08,0.04
-8.7200e-04,0.08,0.04
-8.7000e-04,0.12,0.04
-8.6800e-04,0.08,-0.04
-8.6600e-04,0,0.04
-8.6400e-04,0.04,0.08
-8.6200e-04,0.08,0
-8.6000e-04,0,0.12
-8.5800e-04,0.04,0.12
-8.5600e-04,0.04,0.04
-8.5400e-04,0.04,0.04
-8.5200e-04,0.08,0
-8.5000e-04,0,0.08
-8.4800e-04,0.04,0.08
-8.4600e-04,0,0.04
-8.4400e-04,0,0.04
-8.4200e-04,0.04,-0.04
-8.4000e-04,0.04,-0.04
-8.3800e-04,0.08,0.08
-8.3600e-04,0.12,0.08
-8.3400e-04,0.12,0.08
-8.3200e-04,0.08,0.04
-8.3000e-04,0.08,0
-8.2800e-04,0.04,0
-8.2600e-04,0.08,0.04
-8.2400e-04,0,0
-8.2200e-04,0.08,0
-8.2000e-04,0.12,0.08
-8.1800e-04,0.16,0.04
-8.1600e-04,0.08,0
-8.1400e-04,0.12,-0.04
-8.1200e-04,0.08,0.08
-8.1000e-04,0.08,0.08
-8.0800e-04,0.04,0
-8.0600e-04,0.08,0
-8.0400e-04,0.12,0
-8.0200e-04,0.08,0.12
-8.0000e-04,0.08,0.12
-7.9800e-04,0.12,0.04
-7.9600e-04,0.12,0.16
-7.9400e-04,0.08,-0.04
-7.9200e-04,0.12,0.08
-7.9000e-04,0,0.08
-7.8800e-04,0.08,0
-7.8600e-04,0.08,0.08
-7.8400e-04,0,0.04
-7.8200e-04,0.08,0.08
-7.8000e-04,0.04,0.12
-7.7800e-04,0.04,0
-7.7600e-04,0.08,-0.04
-7.7400e-04,0.04,0
-7.7200e-04,0,0
-7.7000e-04,0.04,0.04
-7.6800e-04,0.12,0.04
-7.6600e-04,0.04,0.04
-7.6400e-04,0.08,-0.04
-7.6200e-04,0.04,0.04
-7.6000e-04,0,0.04
-7.5800e-04,0.04,0.04
-7.5600e-04,0.08,0.04
-7.5400e-04,0.08,0.08
-7.5200e-04,0.04,0.12
-7.5000e-04,0.08,0.04
-7.4800e-04,0.08,0.04
-7.4600e-04,0,-0.04
-7.4400e-04,0.12,0.04
-7.4200e-04,0.04,0.04
-7.4000e-04,0.08,0.04
-7.3800e-04,0.12,0.08
-7.3600e-04,0.08,0.04
-7.3400e-04,0.08,0
-7.3200e-04,0.08,0.04
-7.3000e-04,0.04,0.12
-7.2800e-04,0.12,0.08
-7.2600e-04,0.04,0.04
-7.2400e-04,0.04,0
-7.2200e-04,0.04,0.04
