# Tue Sep  5 16:43:47 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.613009999999999877e+01,2.000010000000000000e+08,-8.125690000000000168e+01
2.637590000000000146e+01,1.847480000000000000e+08,-8.219490000000000407e+01
2.661929999999999907e+01,1.764760000000000000e+08,-8.390049999999999386e+01
2.686730000000000018e+01,1.878260000000000000e+08,-9.106090000000000373e+01
2.711250000000000071e+01,1.902390000000000000e+08,-8.163809999999999434e+01
2.736730000000000018e+01,1.991780000000000000e+08,-8.869950000000000045e+01
2.761919999999999931e+01,1.967620000000000000e+08,-7.297790000000000532e+01
2.787330000000000041e+01,1.994250000000000000e+08,-6.859439999999999316e+01
2.813200000000000145e+01,1.455060000000000000e+08,-9.033400000000000318e+01
2.839560000000000173e+01,1.442420000000000000e+08,-9.147039999999999793e+01
2.865599999999999881e+01,1.581500000000000000e+08,-7.395390000000000441e+01
2.892119999999999891e+01,1.508560000000000000e+08,-9.607980000000000587e+01
2.919140000000000157e+01,1.367670000000000000e+08,-8.999800000000000466e+01
2.946379999999999910e+01,2.333310000000000000e+08,-8.582569999999999766e+01
2.973239999999999839e+01,2.314360000000000000e+08,-9.752039999999999509e+01
3.000600000000000023e+01,1.564090000000000000e+08,-8.671890000000000498e+01
3.028770000000000095e+01,1.854950000000000000e+08,-8.711839999999999407e+01
3.056859999999999999e+01,1.577350000000000000e+08,-9.502649999999999864e+01
3.084829999999999828e+01,1.586760000000000000e+08,-8.406239999999999668e+01
3.113329999999999842e+01,1.392160000000000000e+08,-8.277710000000000434e+01
3.142680000000000007e+01,1.910050000000000000e+08,-9.258820000000000050e+01
3.171249999999999858e+01,1.690100000000000000e+08,-8.290560000000000684e+01
3.201019999999999754e+01,1.861000000000000000e+08,-8.203759999999999764e+01
3.230319999999999681e+01,1.681330000000000000e+08,-1.027379999999999995e+02
3.260520000000000351e+01,1.664100000000000000e+08,-6.939579999999999416e+01
3.290919999999999845e+01,1.100430000000000000e+08,-7.309220000000000539e+01
3.321520000000000294e+01,1.242410000000000000e+08,-1.058599999999999994e+02
3.352329999999999899e+01,1.950910000000000000e+08,-1.095240000000000009e+02
3.383330000000000126e+01,1.044750000000000000e+08,-1.045600000000000023e+02
3.414130000000000109e+01,1.417040000000000000e+08,-7.106619999999999493e+01
3.446300000000000097e+01,1.155610000000000000e+08,-1.032960000000000065e+02
3.478260000000000218e+01,2.030490000000000000e+08,-5.751989999999999981e+01
3.510000000000000142e+01,1.573120000000000000e+08,-7.485299999999999443e+01
3.542329999999999757e+01,1.253720000000000000e+08,-9.273390000000000555e+01
3.575690000000000168e+01,1.169570000000000000e+08,-9.275740000000000407e+01
3.608809999999999718e+01,1.290870000000000000e+08,-8.822369999999999379e+01
3.642099999999999937e+01,1.347920000000000000e+08,-8.592529999999999291e+01
3.676019999999999754e+01,1.221190000000000000e+08,-8.714629999999999654e+01
3.710119999999999862e+01,1.280340000000000000e+08,-8.817109999999999559e+01
3.743919999999999959e+01,1.420330000000000000e+08,-8.219119999999999493e+01
3.778810000000000002e+01,1.588920000000000000e+08,-6.080369999999999919e+01
3.814370000000000260e+01,1.140430000000000000e+08,-7.573480000000000700e+01
3.849110000000000298e+01,1.030050000000000000e+08,-8.698099999999999454e+01
3.884499999999999886e+01,9.773570000000000000e+07,-7.501990000000000691e+01
3.920539999999999736e+01,1.269550000000000000e+08,-5.041620000000000346e+01
3.956739999999999924e+01,2.710260000000000000e+08,-7.231419999999999959e+01
3.993610000000000326e+01,1.224480000000000000e+08,-1.137379999999999995e+02
4.030630000000000024e+01,7.894090000000000000e+07,-7.910779999999999745e+01
4.068350000000000222e+01,2.009670000000000000e+08,-1.225610000000000070e+02
4.105649999999999977e+01,2.161810000000000000e+08,-6.762210000000000321e+01
4.143650000000000233e+01,2.369590000000000000e+08,-7.735829999999999984e+01
4.182350000000000279e+01,1.942540000000000000e+08,-1.158859999999999957e+02
4.221189999999999998e+01,8.705760000000000000e+07,-8.403440000000000509e+01
4.260150000000000148e+01,1.851320000000000000e+08,-1.104629999999999939e+02
4.299230000000000018e+01,1.348990000000000000e+08,-9.161320000000000618e+01
4.339020000000000010e+01,1.562760000000000000e+08,-9.016670000000000584e+01
