# Frecuencia [Hz], Z [Ohm], Fase []
3.529409999999999854e+04,1.376289999999999964e+04,-8.275839999999999463e+01
4.000000000000000000e+04,1.219300000000000000e+04,-8.207580000000000098e+01
4.615380000000000291e+04,1.062210000000000036e+04,-8.115040000000000475e+01
5.217390000000000146e+04,9.444069999999999709e+03,-8.032689999999999486e+01
6.000000000000000000e+04,8.265850000000000364e+03,-7.918909999999999627e+01
6.666669999999999709e+04,7.478640000000000327e+03,-7.824190000000000111e+01
7.058819999999999709e+04,7.085640000000000327e+03,-7.770730000000000359e+01
8.000000000000000000e+04,6.302220000000000255e+03,-7.637860000000000582e+01
1.000000000000000000e+05,5.130880000000000109e+03,-7.364390000000000214e+01
1.090910000000000000e+05,4.742109999999999673e+03,-7.244060000000000343e+01
1.200000000000000000e+05,4.356859999999999673e+03,-7.101730000000000587e+01
1.333330000000000000e+05,3.974519999999999982e+03,-6.929609999999999559e+01
1.411760000000000000e+05,3.784300000000000182e+03,-6.829739999999999611e+01
1.600000000000000000e+05,3.406469999999999800e+03,-6.600929999999999609e+01
1.846150000000000000e+05,3.036500000000000000e+03,-6.312579999999999814e+01
