# Frecuencia [Hz], Z [Ohm], Fase []
5.314439999999999742e+01,5.539150000000000000e+06,-5.255519999999999925e+01
5.415160000000000196e+01,5.917950000000000000e+06,-5.258330000000000126e+01
5.514710000000000178e+01,5.190610000000000000e+06,-4.463119999999999976e+01
5.616929999999999978e+01,5.059770000000000000e+06,-4.886979999999999791e+01
5.721920000000000073e+01,4.945520000000000000e+06,-5.022460000000000235e+01
5.828640000000000043e+01,4.441050000000000000e+06,-5.231929999999999836e+01
5.938239999999999696e+01,5.298510000000000000e+06,-5.654030000000000200e+01
6.048389999999999844e+01,4.386610000000000000e+06,-5.279729999999999990e+01
6.161430000000000007e+01,4.420580000000000000e+06,-5.719760000000000133e+01
6.274839999999999662e+01,4.229940000000000000e+06,-5.175370000000000203e+01
6.391140000000000043e+01,4.854060000000000000e+06,-5.323290000000000077e+01
6.510420000000000584e+01,5.702390000000000000e+06,-5.666899999999999693e+01
6.632769999999999300e+01,4.507250000000000000e+06,-4.837449999999999761e+01
6.755240000000000578e+01,4.857570000000000000e+06,-5.623149999999999693e+01
6.880729999999999791e+01,5.148410000000000000e+06,-5.373899999999999721e+01
7.007710000000000150e+01,4.714030000000000000e+06,-4.953690000000000282e+01
7.141160000000000707e+01,4.329420000000000000e+06,-5.390240000000000009e+01
7.272729999999999961e+01,4.206950000000000000e+06,-5.008930000000000149e+01
7.407410000000000139e+01,4.104870000000000000e+06,-4.908829999999999671e+01
7.547169999999999845e+01,4.425120000000000000e+06,-5.210609999999999786e+01
7.688370000000000459e+01,4.638750000000000000e+06,-5.855980000000000274e+01
7.828810000000000002e+01,4.673290000000000000e+06,-5.480649999999999977e+01
7.976600000000000534e+01,4.543120000000000000e+06,-5.252089999999999748e+01
8.125679999999999836e+01,4.025870000000000000e+06,-6.126239999999999952e+01
8.275860000000000127e+01,4.202190000000000000e+06,-5.675379999999999825e+01
8.429330000000000211e+01,3.916770000000000000e+06,-5.953359999999999985e+01
8.586150000000000659e+01,4.039670000000000000e+06,-5.987630000000000052e+01
8.743810000000000571e+01,3.860970000000000000e+06,-5.897249999999999659e+01
8.910009999999999764e+01,3.656520000000000000e+06,-5.496520000000000294e+01
9.074410000000000309e+01,3.707580000000000000e+06,-6.249660000000000082e+01
9.242140000000000555e+01,3.659430000000000000e+06,-6.080310000000000059e+01
9.413240000000000407e+01,3.799040000000000000e+06,-6.191620000000000346e+01
9.587730000000000530e+01,4.072270000000000000e+06,-6.551739999999999498e+01
9.768800000000000239e+01,3.093950000000000000e+06,-6.462139999999999418e+01
9.950249999999999773e+01,3.813110000000000000e+06,-6.609369999999999834e+01
1.013509999999999991e+02,3.095230000000000000e+06,-6.343289999999999651e+01
