# Frecuencia [Hz], Z [Ohm], Fase []
4.936650000000000205e+01,5.878930000000000000e+05,-4.273159999999999847e+00
5.029339999999999833e+01,6.049990000000000000e+05,-3.528059999999999974e+00
5.122950000000000159e+01,6.262260000000000000e+05,-3.612379999999999924e+00
5.218299999999999983e+01,6.140460000000000000e+05,-3.561789999999999790e+00
5.314439999999999742e+01,6.165920000000000000e+05,-3.738910000000000178e+00
5.415160000000000196e+01,6.223280000000000000e+05,-3.671790000000000109e+00
5.514710000000000178e+01,6.137560000000000000e+05,-3.862659999999999982e+00
5.616929999999999978e+01,6.196340000000000000e+05,-4.198389999999999844e+00
5.721920000000000073e+01,6.265400000000000000e+05,-4.311689999999999579e+00
5.828640000000000043e+01,6.254150000000000000e+05,-4.747160000000000046e+00
5.938239999999999696e+01,6.284950000000000000e+05,-4.634699999999999598e+00
6.048389999999999844e+01,6.022230000000000000e+05,-5.030999999999999694e+00
6.161430000000000007e+01,6.010580000000000000e+05,-4.591859999999999609e+00
6.274839999999999662e+01,6.028050000000000000e+05,-3.896970000000000045e+00
6.391140000000000043e+01,5.784220000000000000e+05,-3.953629999999999978e+00
6.510420000000000584e+01,5.892040000000000000e+05,-4.515789999999999971e+00
6.632769999999999300e+01,6.083770000000000000e+05,-5.978500000000000369e+00
6.755240000000000578e+01,6.006970000000000000e+05,-3.399630000000000152e+00
6.880729999999999791e+01,6.010500000000000000e+05,-4.072169999999999845e+00
7.007710000000000150e+01,5.823230000000000000e+05,-4.546149999999999913e+00
7.141160000000000707e+01,5.768880000000000000e+05,-3.990040000000000031e+00
7.272729999999999961e+01,5.718660000000000000e+05,-3.736720000000000041e+00
7.407410000000000139e+01,5.697460000000000000e+05,-4.114399999999999835e+00
7.547169999999999845e+01,6.116970000000000000e+05,-4.048659999999999926e+00
7.688370000000000459e+01,6.324940000000000000e+05,-4.328350000000000364e+00
7.828810000000000002e+01,6.139700000000000000e+05,-4.401220000000000354e+00
7.976600000000000534e+01,6.298500000000000000e+05,-5.217139999999999667e+00
8.125679999999999836e+01,6.139620000000000000e+05,-5.729599999999999582e+00
