# Wed Jun 28 16:54:38 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
2.857140000000000146e+04,2.126700000000000000e+05,-9.555029999999999291e+01
3.000000000000000000e+04,2.024830000000000000e+05,-9.600610000000000355e+01
3.157890000000000146e+04,1.933450000000000000e+05,-9.671439999999999770e+01
3.333330000000000291e+04,1.829160000000000000e+05,-9.707160000000000366e+01
3.529409999999999854e+04,1.724100000000000000e+05,-9.748640000000000327e+01
3.750000000000000000e+04,1.618860000000000000e+05,-9.803270000000000550e+01
4.000000000000000000e+04,1.514160000000000000e+05,-9.867829999999999302e+01
4.285709999999999854e+04,1.411070000000000000e+05,-9.957179999999999609e+01
4.615380000000000291e+04,1.308880000000000000e+05,-1.004899999999999949e+02
5.000000000000000000e+04,1.208720000000000000e+05,-1.014539999999999935e+02
5.217390000000000146e+04,1.150020000000000000e+05,-1.021760000000000019e+02
5.714290000000000146e+04,1.042610000000000000e+05,-1.034689999999999941e+02
6.000000000000000000e+04,9.865210000000000582e+04,-1.041670000000000016e+02
6.000000000000000000e+04,9.877000000000000000e+04,-1.041419999999999959e+02
6.666669999999999709e+04,8.783569999999999709e+04,-1.057720000000000056e+02
7.058819999999999709e+04,8.257150000000000000e+04,-1.068569999999999993e+02
7.058819999999999709e+04,8.267410000000000582e+04,-1.068319999999999936e+02
7.500000000000000000e+04,7.701360000000000582e+04,-1.078050000000000068e+02
8.000000000000000000e+04,7.140719999999999709e+04,-1.091520000000000010e+02
9.230769999999999709e+04,6.033550000000000000e+04,-1.118229999999999933e+02
1.000000000000000000e+05,5.443909999999999854e+04,-1.135000000000000000e+02
1.000000000000000000e+05,5.436980000000000291e+04,-1.134860000000000042e+02
1.090910000000000000e+05,4.868880000000000291e+04,-1.154320000000000022e+02
1.142860000000000000e+05,4.572830000000000291e+04,-1.164330000000000069e+02
1.200000000000000000e+05,4.285990000000000146e+04,-1.173340000000000032e+02
1.200000000000000000e+05,4.282830000000000291e+04,-1.173250000000000028e+02
1.333330000000000000e+05,3.717480000000000291e+04,-1.194699999999999989e+02
1.333330000000000000e+05,3.716119999999999709e+04,-1.193829999999999956e+02
1.411760000000000000e+05,3.429859999999999854e+04,-1.205600000000000023e+02
1.500000000000000000e+05,3.146900000000000000e+04,-1.219549999999999983e+02
1.600000000000000000e+05,2.863570000000000073e+04,-1.234279999999999973e+02
1.846150000000000000e+05,2.293620000000000073e+04,-1.266880000000000024e+02
1.846150000000000000e+05,2.291490000000000146e+04,-1.267169999999999987e+02
2.000000000000000000e+05,2.002059999999999854e+04,-1.284519999999999982e+02
