# Wed Jun 28 19:20:37 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
1.250000000000000000e+04,5.384440000000000000e+05,-8.482489999999999952e+01
1.363639999999999964e+04,4.956450000000000000e+05,-8.483400000000000318e+01
1.428570000000000073e+04,4.741660000000000000e+05,-8.489830000000000609e+01
1.428570000000000073e+04,4.735190000000000000e+05,-8.473239999999999839e+01
1.500000000000000000e+04,4.530110000000000000e+05,-8.497639999999999816e+01
1.666670000000000073e+04,4.073840000000000000e+05,-8.474899999999999523e+01
1.764709999999999854e+04,3.861790000000000000e+05,-8.472429999999999950e+01
1.875000000000000000e+04,3.643390000000000000e+05,-8.593139999999999645e+01
1.875000000000000000e+04,3.647090000000000000e+05,-8.588330000000000553e+01
2.000000000000000000e+04,3.425300000000000000e+05,-8.601479999999999393e+01
2.307690000000000146e+04,2.980240000000000000e+05,-8.589870000000000516e+01
2.307690000000000146e+04,2.979850000000000000e+05,-8.600730000000000075e+01
2.500000000000000000e+04,2.755420000000000000e+05,-8.610410000000000252e+01
2.727270000000000073e+04,2.557640000000000000e+05,-8.627049999999999841e+01
2.727270000000000073e+04,2.559640000000000000e+05,-8.638750000000000284e+01
2.857140000000000146e+04,2.443360000000000000e+05,-8.630700000000000216e+01
3.000000000000000000e+04,2.334480000000000000e+05,-8.637770000000000437e+01
3.157890000000000146e+04,2.222750000000000000e+05,-8.638790000000000191e+01
3.333330000000000291e+04,2.109700000000000000e+05,-8.638649999999999807e+01
3.529409999999999854e+04,1.996050000000000000e+05,-8.642870000000000630e+01
3.750000000000000000e+04,1.883910000000000000e+05,-8.634090000000000487e+01
4.000000000000000000e+04,1.761460000000000000e+05,-8.355689999999999884e+01
4.285709999999999854e+04,1.646990000000000000e+05,-8.443659999999999854e+01
4.615380000000000291e+04,1.524590000000000000e+05,-8.041769999999999641e+01
5.000000000000000000e+04,1.427970000000000000e+05,-8.591649999999999920e+01
5.217390000000000146e+04,1.369180000000000000e+05,-8.651040000000000418e+01
5.714290000000000146e+04,1.253060000000000000e+05,-8.643179999999999552e+01
6.000000000000000000e+04,1.196530000000000000e+05,-8.639730000000000132e+01
6.000000000000000000e+04,1.196480000000000000e+05,-8.666670000000000584e+01
6.666669999999999709e+04,1.080970000000000000e+05,-8.663569999999999993e+01
7.058819999999999709e+04,1.022580000000000000e+05,-8.669859999999999900e+01
7.058819999999999709e+04,1.022870000000000000e+05,-8.666230000000000189e+01
7.500000000000000000e+04,9.643239999999999418e+04,-8.675270000000000437e+01
8.000000000000000000e+04,9.055060000000000582e+04,-8.680679999999999552e+01
9.230769999999999709e+04,7.870900000000000000e+04,-8.693040000000000589e+01
1.000000000000000000e+05,7.267139999999999418e+04,-8.704630000000000223e+01
1.000000000000000000e+05,7.280219999999999709e+04,-8.689839999999999520e+01
1.090910000000000000e+05,6.676010000000000582e+04,-8.701460000000000150e+01
1.142860000000000000e+05,6.375369999999999709e+04,-8.704479999999999507e+01
1.200000000000000000e+05,6.072559999999999854e+04,-8.709000000000000341e+01
1.200000000000000000e+05,6.074269999999999709e+04,-8.707120000000000459e+01
1.333330000000000000e+05,5.468769999999999709e+04,-8.718089999999999407e+01
1.333330000000000000e+05,5.466659999999999854e+04,-8.716410000000000480e+01
1.411760000000000000e+05,5.159509999999999854e+04,-8.718720000000000425e+01
1.500000000000000000e+05,4.847230000000000291e+04,-8.724439999999999884e+01
1.600000000000000000e+05,4.542180000000000291e+04,-8.729399999999999693e+01
1.846150000000000000e+05,3.912569999999999709e+04,-8.739069999999999538e+01
1.846150000000000000e+05,3.914680000000000291e+04,-8.733620000000000516e+01
2.000000000000000000e+05,3.580590000000000146e+04,-8.744790000000000418e+01
