# Wed Jun 28 19:53:44 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
4.823149999999999977e+02,6.184520000000000000e+05,-7.680939999999999657e+01
5.050509999999999877e+02,5.927540000000000000e+05,-7.760949999999999704e+01
5.281689999999999827e+02,5.682190000000000000e+05,-7.797979999999999734e+01
5.545289999999999964e+02,5.428580000000000000e+05,-7.845669999999999789e+01
5.802709999999999582e+02,5.198100000000000000e+05,-7.891859999999999786e+01
6.072870000000000346e+02,4.980410000000000000e+05,-7.943819999999999482e+01
6.355929999999999609e+02,4.762030000000000000e+05,-7.981560000000000343e+01
6.651879999999999882e+02,4.559120000000000000e+05,-8.007959999999999923e+01
6.976739999999999782e+02,4.368600000000000000e+05,-8.044660000000000366e+01
7.299270000000000209e+02,4.170060000000000000e+05,-8.078199999999999648e+01
7.653060000000000400e+02,3.979730000000000000e+05,-8.098109999999999786e+01
8.000000000000000000e+02,3.816400000000000000e+05,-8.129519999999999413e+01
8.403360000000000127e+02,3.639330000000000000e+05,-8.158899999999999864e+01
8.771929999999999836e+02,3.493500000000000000e+05,-8.206579999999999586e+01
9.202450000000000045e+02,3.332710000000000000e+05,-8.216469999999999629e+01
9.615380000000000109e+02,3.193930000000000000e+05,-8.243670000000000186e+01
1.006710000000000036e+03,3.057100000000000000e+05,-8.292799999999999727e+01
1.060069999999999936e+03,2.905080000000000000e+05,-8.273449999999999704e+01
1.107009999999999991e+03,2.786020000000000000e+05,-8.330580000000000496e+01
1.158299999999999955e+03,2.666850000000000000e+05,-8.353979999999999961e+01
1.214569999999999936e+03,2.544360000000000000e+05,-8.371059999999999945e+01
1.276599999999999909e+03,2.424540000000000000e+05,-8.392159999999999798e+01
1.327430000000000064e+03,2.334410000000000000e+05,-8.402439999999999998e+01
1.401869999999999891e+03,2.212510000000000000e+05,-8.432150000000000034e+01
1.456309999999999945e+03,2.130480000000000000e+05,-8.442919999999999447e+01
1.530609999999999900e+03,2.031140000000000000e+05,-8.465930000000000177e+01
1.595740000000000009e+03,1.948540000000000000e+05,-8.479040000000000532e+01
1.685390000000000100e+03,1.847950000000000000e+05,-8.500620000000000687e+01
1.764710000000000036e+03,1.766480000000000000e+05,-8.511790000000000589e+01
1.840490000000000009e+03,1.695200000000000000e+05,-8.523550000000000182e+01
1.935480000000000018e+03,1.613990000000000000e+05,-8.514149999999999352e+01
2.013420000000000073e+03,1.552670000000000000e+05,-8.547610000000000241e+01
2.127659999999999854e+03,1.470820000000000000e+05,-8.563899999999999579e+01
2.205880000000000109e+03,1.419630000000000000e+05,-8.575639999999999930e+01
2.307690000000000055e+03,1.359020000000000000e+05,-8.582170000000000698e+01
2.419349999999999909e+03,1.296700000000000000e+05,-8.602119999999999322e+01
2.542369999999999891e+03,1.235130000000000000e+05,-8.607710000000000150e+01
2.678570000000000164e+03,1.173500000000000000e+05,-8.621649999999999636e+01
2.803739999999999782e+03,1.119960000000000000e+05,-8.616819999999999879e+01
2.912619999999999891e+03,1.079900000000000000e+05,-8.634640000000000271e+01
3.061219999999999800e+03,1.028870000000000000e+05,-8.643630000000000280e+01
3.260869999999999891e+03,9.671860000000000582e+04,-8.657949999999999591e+01
3.409090000000000146e+03,9.258030000000000291e+04,-8.657760000000000389e+01
3.658539999999999964e+03,8.639150000000000000e+04,-8.672150000000000603e+01
3.846150000000000091e+03,8.223780000000000291e+04,-8.679370000000000118e+01
4.166670000000000073e+03,7.603339999999999418e+04,-8.683969999999999345e+01
4.411760000000000218e+03,7.186450000000000000e+04,-8.689520000000000266e+01
4.761899999999999636e+03,6.666769999999999709e+04,-8.696699999999999875e+01
5.172409999999999854e+03,6.145140000000000146e+04,-8.703990000000000293e+01
5.769229999999999563e+03,5.518569999999999709e+04,-8.707519999999999527e+01
6.250000000000000000e+03,5.100219999999999709e+04,-8.709439999999999316e+01
6.976739999999999782e+03,4.577980000000000291e+04,-8.714509999999999934e+01
7.317069999999999709e+03,4.368369999999999709e+04,-8.716559999999999775e+01
7.317069999999999709e+03,4.366940000000000146e+04,-8.717109999999999559e+01
7.500000000000000000e+03,4.262590000000000146e+04,-8.717690000000000339e+01
7.894739999999999782e+03,4.052430000000000291e+04,-8.720690000000000452e+01
8.108109999999999673e+03,3.947940000000000146e+04,-8.721110000000000184e+01
8.333329999999999927e+03,3.842450000000000000e+04,-8.720780000000000598e+01
8.333329999999999927e+03,3.843350000000000000e+04,-8.719169999999999732e+01
8.823530000000000655e+03,3.632200000000000000e+04,-8.719750000000000512e+01
9.090909999999999854e+03,3.527180000000000291e+04,-8.719230000000000302e+01
9.375000000000000000e+03,3.421809999999999854e+04,-8.718569999999999709e+01
9.375000000000000000e+03,3.421730000000000291e+04,-8.716410000000000480e+01
1.000000000000000000e+04,3.207920000000000073e+04,-8.710829999999999984e+01
