# Wed Jun 28 17:10:52 2023
#  Frecuencia [Hz], Z [Ohm], Fase [deg]
3.488369999999999891e+02,7.688660000000000000e+05,-8.061320000000000618e+01
3.654080000000000155e+02,7.397030000000000000e+05,-8.022780000000000200e+01
3.826530000000000200e+02,7.118850000000000000e+05,-8.002609999999999957e+01
4.005339999999999918e+02,6.862650000000000000e+05,-8.037220000000000653e+01
4.195799999999999841e+02,6.575350000000000000e+05,-8.034569999999999368e+01
4.398829999999999814e+02,6.337250000000000000e+05,-8.021939999999999316e+01
4.608290000000000077e+02,6.071770000000000000e+05,-7.997599999999999909e+01
4.823149999999999977e+02,5.841550000000000000e+05,-8.017199999999999704e+01
5.050509999999999877e+02,5.611100000000000000e+05,-8.010540000000000305e+01
5.281689999999999827e+02,5.398570000000000000e+05,-7.995709999999999695e+01
5.545289999999999964e+02,5.163320000000000000e+05,-8.012659999999999627e+01
5.802709999999999582e+02,4.973060000000000000e+05,-8.011499999999999488e+01
6.072870000000000346e+02,4.764290000000000000e+05,-8.003029999999999688e+01
6.355929999999999609e+02,4.598900000000000000e+05,-8.000260000000000105e+01
6.651879999999999882e+02,4.412830000000000000e+05,-7.983780000000000143e+01
6.976739999999999782e+02,4.246970000000000000e+05,-7.966100000000000136e+01
7.299270000000000209e+02,4.065640000000000000e+05,-7.997750000000000625e+01
7.653060000000000400e+02,3.907320000000000000e+05,-8.019360000000000355e+01
8.000000000000000000e+02,3.756010000000000000e+05,-8.005670000000000641e+01
8.403360000000000127e+02,3.606320000000000000e+05,-8.022419999999999618e+01
8.771929999999999836e+02,3.467560000000000000e+05,-8.014459999999999695e+01
9.202450000000000045e+02,3.311900000000000000e+05,-8.009189999999999543e+01
9.615380000000000109e+02,3.198900000000000000e+05,-8.022239999999999327e+01
1.006710000000000036e+03,3.064060000000000000e+05,-8.012959999999999638e+01
1.060069999999999936e+03,2.928330000000000000e+05,-8.036310000000000286e+01
1.107009999999999991e+03,2.807790000000000000e+05,-8.031839999999999691e+01
1.158299999999999955e+03,2.702670000000000000e+05,-8.038479999999999848e+01
1.214569999999999936e+03,2.591110000000000000e+05,-8.043089999999999407e+01
1.276599999999999909e+03,2.472230000000000000e+05,-8.045780000000000598e+01
1.327430000000000064e+03,2.393560000000000000e+05,-8.049840000000000373e+01
1.401869999999999891e+03,2.277180000000000000e+05,-8.057720000000000482e+01
1.456309999999999945e+03,2.200460000000000000e+05,-8.063870000000000005e+01
1.530609999999999900e+03,2.105440000000000000e+05,-8.067100000000000648e+01
1.595740000000000009e+03,2.026160000000000000e+05,-8.066240000000000521e+01
1.685390000000000100e+03,1.924380000000000000e+05,-8.074320000000000164e+01
1.764710000000000036e+03,1.845340000000000000e+05,-8.063639999999999475e+01
1.840490000000000009e+03,1.776250000000000000e+05,-8.065800000000000125e+01
1.935480000000000018e+03,1.699010000000000000e+05,-8.008769999999999811e+01
2.013420000000000073e+03,1.635350000000000000e+05,-8.070340000000000202e+01
2.127659999999999854e+03,1.554450000000000000e+05,-8.068989999999999441e+01
2.205880000000000109e+03,1.504660000000000000e+05,-8.077339999999999520e+01
2.307690000000000055e+03,1.437220000000000000e+05,-8.049339999999999407e+01
2.419349999999999909e+03,1.379590000000000000e+05,-8.068500000000000227e+01
2.542369999999999891e+03,1.318270000000000000e+05,-8.056109999999999616e+01
2.678570000000000164e+03,1.256330000000000000e+05,-8.054840000000000089e+01
2.803739999999999782e+03,1.203350000000000000e+05,-8.031059999999999377e+01
2.912619999999999891e+03,1.160320000000000000e+05,-8.042109999999999559e+01
3.061219999999999800e+03,1.107190000000000000e+05,-8.029489999999999839e+01
3.260869999999999891e+03,1.044250000000000000e+05,-8.031119999999999948e+01
3.409090000000000146e+03,1.002490000000000000e+05,-8.022329999999999472e+01
3.658539999999999964e+03,9.388250000000000000e+04,-8.006170000000000186e+01
3.846150000000000091e+03,8.966430000000000291e+04,-7.967279999999999518e+01
4.166670000000000073e+03,1.197490000000000000e+05,-4.341980000000000217e+01
