# Frecuencia [Hz], Resistencia [Ohm], Reactancia [Ohm]
4.941530000000000200e+01,3.082280528556071204e+03,-1.239820560013763134e+04
5.033559999999999945e+01,2.997380604573763321e+03,-1.221501945439813790e+04
5.127329999999999899e+01,2.914581331845455679e+03,-1.203603734083846939e+04
5.222840000000000060e+01,2.832937408501165010e+03,-1.185809651164615389e+04
5.320089999999999719e+01,2.752667543159869183e+03,-1.168248377515818356e+04
5.419080000000000297e+01,2.674636181341759766e+03,-1.150766564762191774e+04
5.519780000000000086e+01,2.599494863315520888e+03,-1.133535277861241593e+04
5.623239999999999839e+01,2.524252183677806443e+03,-1.116264893128856966e+04
5.727380000000000138e+01,2.451699755696505690e+03,-1.099404916843278806e+04
5.834309999999999974e+01,2.380147839852446850e+03,-1.082553320028375128e+04
5.942949999999999733e+01,2.310288773862570906e+03,-1.065920591185687772e+04
6.054489999999999839e+01,2.242297671757813532e+03,-1.049432011095666530e+04
6.166499999999999915e+01,2.177358994478745899e+03,-1.033257702894890099e+04
6.281410000000000338e+01,2.113117701197402312e+03,-1.017060088789675137e+04
6.397950000000000159e+01,2.049169736820380876e+03,-1.001204911842223737e+04
6.517489999999999384e+01,1.988231690513859348e+03,-9.854937696141787455e+03
6.638639999999999475e+01,1.929399735841231404e+03,-9.699659012328000244e+03
6.762850000000000250e+01,1.870282536887213382e+03,-9.543665871781908209e+03
6.888630000000000564e+01,1.813700855858856812e+03,-9.391928604283408276e+03
7.017539999999999623e+01,1.758431439882220047e+03,-9.240537177071133556e+03
7.147960000000000491e+01,1.704340031012235386e+03,-9.092402632763752990e+03
7.281550000000000011e+01,1.651822473395143788e+03,-8.945368303003893743e+03
7.416559999999999775e+01,1.601708197647364159e+03,-8.800795212887824164e+03
7.554770000000000607e+01,1.551905007104182005e+03,-8.657546692945119503e+03
7.696250000000000568e+01,1.504034069832329124e+03,-8.515547166171038043e+03
7.839039999999999964e+01,1.457650898763124133e+03,-8.377167964111444235e+03
7.985089999999999577e+01,1.412308127942558258e+03,-8.239049991361102002e+03
8.134489999999999554e+01,1.367977300701034437e+03,-8.102673310726941963e+03
8.284999999999999432e+01,1.325904074830725904e+03,-7.969080314644047576e+03
8.438819999999999766e+01,1.284293321170370746e+03,-7.837136789293471338e+03
8.598449999999999704e+01,1.243594143341351128e+03,-7.704763570483333751e+03
8.756570000000000675e+01,1.205246464286131413e+03,-7.577183943519239619e+03
8.920610000000000639e+01,1.167137897588013630e+03,-7.449869050903768766e+03
9.085399999999999920e+01,1.130733865997702878e+03,-7.325829862936067912e+03
9.256399999999999295e+01,1.094916426602113916e+03,-7.201115599208004824e+03
9.428029999999999688e+01,1.060504142494065945e+03,-7.079600394927168963e+03
9.603069999999999595e+01,1.027345833408116732e+03,-6.959946182850768309e+03
9.784739999999999327e+01,9.943552829396031711e+02,-6.840041822598023828e+03
9.966779999999999973e+01,9.632476477446282388e+02,-6.723874026148499979e+03
1.015229999999999961e+02,9.324846793080037060e+02,-6.609525726045390002e+03
1.034129999999999967e+02,9.031041612905892180e+02,-6.495579561321655092e+03
1.053370000000000033e+02,8.750282717386711511e+02,-6.385292775163722581e+03
1.072960000000000065e+02,8.471189010452860657e+02,-6.275159495494263865e+03
1.092900000000000063e+02,8.205436214569954245e+02,-6.167505621220481771e+03
1.113169999999999931e+02,7.947565287051895666e+02,-6.061297862049058494e+03
1.134219999999999970e+02,7.693292117495990396e+02,-5.955323307768331688e+03
1.155180000000000007e+02,7.452989663168168590e+02,-5.852898211690263452e+03
1.176470000000000056e+02,7.222313195117626492e+02,-5.752005035638990194e+03
1.198559999999999945e+02,6.996210222244023953e+02,-5.651470027998173464e+03
1.220999999999999943e+02,6.768370170038502920e+02,-5.553013447175625515e+03
1.243780000000000001e+02,6.559575517827389604e+02,-5.455344940501856399e+03
1.266889999999999930e+02,6.353885174176564306e+02,-5.360595206349178625e+03
1.290320000000000107e+02,6.154553789145418250e+02,-5.267204943626662498e+03
1.314639999999999986e+02,5.960849677975163559e+02,-5.173956090223981846e+03
1.339290000000000020e+02,5.774074881914250454e+02,-5.082667461302231459e+03
1.363640000000000043e+02,5.597550944302064408e+02,-4.995366191898190664e+03
1.389530000000000030e+02,5.421759080935520387e+02,-4.905629983466234989e+03
1.415089999999999861e+02,5.258432955203770689e+02,-4.819940763137683462e+03
