# Tue Sep 26 15:49:46 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0.1, T = 0.01, nplc=0.5
4.556278705596923828e+01,4.000830000000000219e-01,1.490989999999999933e-06
4.572046875953674316e+01,-3.500449999999999839e+00,-3.294829999999999894e-04
4.589538598060607910e+01,4.000830000000000219e-01,2.269750000000000164e-06
4.605454039573669434e+01,-3.600610000000000088e+00,-3.303679999999999920e-04
4.623041081428527832e+01,4.000879999999999992e-01,1.741499999999999970e-06
4.638912129402160645e+01,-3.700569999999999915e+00,-3.483390000000000271e-04
4.656437540054321289e+01,4.000900000000000012e-01,1.879650000000000079e-06
4.671988844871520996e+01,-3.800699999999999967e+00,-4.029889999999999731e-04
4.689499258995056152e+01,4.000920000000000032e-01,2.184500000000000006e-06
4.705289745330810547e+01,-3.900539999999999896e+00,-4.072209999999999827e-04
4.722896766662597656e+01,4.000909999999999744e-01,2.779790000000000197e-06
4.738768529891967773e+01,-4.000469999999999970e+00,-4.424359999999999903e-04
4.756310653686523438e+01,4.000940000000000052e-01,2.523229999999999811e-06
4.771901774406433105e+01,-4.100660000000000416e+00,-4.627130000000000132e-04
4.789283132553100586e+01,4.000909999999999744e-01,2.179629999999999831e-06
4.805170202255249023e+01,-4.200479999999999769e+00,-4.836780000000000268e-04
4.822501468658447266e+01,4.000969999999999804e-01,2.722609999999999840e-06
4.838274908065795898e+01,-4.300729999999999720e+00,-5.124459999999999519e-04
4.855505895614624023e+01,4.000989999999999824e-01,2.707419999999999821e-06
4.871254515647888184e+01,-4.400619999999999976e+00,-5.326970000000000533e-04
4.888473272323608398e+01,4.001000000000000112e-01,2.591399999999999872e-06
4.904159259796142578e+01,-4.500860000000000305e+00,-5.637080000000000042e-04
4.921464323997497559e+01,4.000929999999999764e-01,5.216660000000000127e-06
4.937158298492431641e+01,-4.600690000000000168e+00,-5.965569999999999467e-04
4.954551911354064941e+01,4.001040000000000152e-01,3.129409999999999909e-06
4.970218729972839355e+01,-4.700520000000000032e+00,-6.383139999999999604e-04
4.987635493278503418e+01,4.001000000000000112e-01,4.158289999999999789e-06
5.003507328033447266e+01,-4.800769999999999982e+00,-6.614509999999999661e-04
5.020913004875183105e+01,4.001040000000000152e-01,3.874550000000000029e-06
5.036701345443725586e+01,-4.900660000000000238e+00,-7.362039999999999600e-04
5.054056453704833984e+01,4.001049999999999884e-01,5.090190000000000133e-06
5.069709849357604980e+01,-5.000820000000000043e+00,-7.746709999999999968e-04
5.086648201942443848e+01,4.001000000000000112e-01,7.050290000000000222e-06
5.102163577079772949e+01,-4.900739999999999874e+00,-7.591609999999999504e-04
5.119481325149536133e+01,4.001009999999999844e-01,7.095339999999999900e-06
5.134994554519653320e+01,-4.800790000000000113e+00,-7.407520000000000120e-04
5.152250695228576660e+01,4.000969999999999804e-01,7.249169999999999578e-06
5.167953586578369141e+01,-4.700580000000000425e+00,-7.170450000000000304e-04
5.185245060920715332e+01,4.000989999999999824e-01,7.016659999999999834e-06
5.201030302047729492e+01,-4.600690000000000168e+00,-6.837489999999999887e-04
5.218210053443908691e+01,4.000879999999999992e-01,7.277699999999999794e-06
5.234006881713867188e+01,-4.500840000000000174e+00,-6.692090000000000365e-04
5.251270246505737305e+01,4.000870000000000259e-01,7.177000000000000064e-06
5.266987633705139160e+01,-4.400590000000000224e+00,-6.483110000000000478e-04
5.284254908561706543e+01,4.000879999999999992e-01,6.853590000000000055e-06
5.300017762184143066e+01,-4.300709999999999589e+00,-6.243340000000000434e-04
5.317172741889953613e+01,4.000879999999999992e-01,6.993730000000000038e-06
5.332844853401184082e+01,-4.200529999999999653e+00,-6.018459999999999565e-04
5.350064849853515625e+01,4.000839999999999952e-01,6.766210000000000394e-06
5.365601325035095215e+01,-4.100620000000000154e+00,-5.812690000000000348e-04
5.382688903808593750e+01,4.000810000000000199e-01,6.745399999999999825e-06
5.398259329795837402e+01,-4.000449999999999839e+00,-5.610339999999999685e-04
5.415545940399169922e+01,4.000810000000000199e-01,6.853910000000000418e-06
5.431130790710449219e+01,-3.900599999999999845e+00,-5.427290000000000413e-04
5.448446559906005859e+01,4.000819999999999932e-01,7.178109999999999787e-06
5.464178586006164551e+01,-3.800749999999999851e+00,-5.204180000000000307e-04
5.481345009803771973e+01,4.000790000000000179e-01,6.919129999999999939e-06
5.497234392166137695e+01,-3.700569999999999915e+00,-4.983910000000000467e-04
5.514609527587890625e+01,4.000779999999999892e-01,6.790549999999999723e-06
5.530054569244384766e+01,-3.600639999999999841e+00,-4.793709999999999746e-04
5.547367215156555176e+01,4.000690000000000079e-01,6.388940000000000192e-06
5.563014245033264160e+01,-3.500480000000000036e+00,-4.588190000000000129e-04
5.580243754386901855e+01,4.000790000000000179e-01,6.682579999999999637e-06
5.595897126197814941e+01,-3.400520000000000209e+00,-4.381990000000000104e-04
5.612918424606323242e+01,4.000770000000000159e-01,6.631459999999999693e-06
5.628669834136962891e+01,-3.300650000000000084e+00,-4.180380000000000250e-04
5.645821523666381836e+01,4.000779999999999892e-01,6.688850000000000341e-06
5.661360502243041992e+01,-3.200460000000000083e+00,-3.982920000000000145e-04
5.678454804420471191e+01,4.000759999999999872e-01,6.879830000000000163e-06
5.694132614135742188e+01,-3.100569999999999826e+00,-3.798559999999999762e-04
5.711485290527343750e+01,4.000730000000000119e-01,6.538629999999999940e-06
5.726993036270141602e+01,-3.000370000000000203e+00,-3.604880000000000085e-04
5.744074654579162598e+01,4.000710000000000099e-01,6.448929999999999765e-06
5.759809350967407227e+01,-2.900459999999999816e+00,-3.415310000000000069e-04
5.776915192604064941e+01,4.000719999999999832e-01,6.608939999999999780e-06
5.792464542388916016e+01,-2.800240000000000062e+00,-3.230160000000000258e-04
5.809641098976135254e+01,4.000699999999999812e-01,6.815270000000000225e-06
5.825254774093627930e+01,-2.700390000000000068e+00,-3.046810000000000056e-04
5.842364931106567383e+01,4.000699999999999812e-01,6.424600000000000288e-06
5.858022809028625488e+01,-2.600470000000000059e+00,-2.856420000000000139e-04
5.875113487243652344e+01,4.000699999999999812e-01,6.542099999999999587e-06
5.890660095214843750e+01,-2.500309999999999810e+00,-2.676789999999999964e-04
5.907984781265258789e+01,4.000659999999999772e-01,6.677679999999999905e-06
