# Fri Aug 25 16:36:29 2023
#  Tiempo dinamica [s], Voltaje dinamica [V], Corriente dinamica [A], Tiempo remanente [s], Voltaje remanente [V], Corriente remanente [A]
#  Vmax=3, Vmin=-3, Npos=50, Nneg=50, pw=0.1, hslV=0.4
2.344170331954956055e+01,-3.000529999999999919e+00,-4.063910000000000025e-06,2.361435699462890625e+01,4.000230000000000175e-01,1.823870000000000031e-09
2.380307149887084961e+01,-2.880549999999999944e+00,-3.052860000000000193e-06,2.397526073455810547e+01,4.000230000000000175e-01,1.782560000000000098e-09
2.416452240943908691e+01,-2.760549999999999837e+00,-2.272250000000000140e-06,2.433780860900878906e+01,4.000190000000000135e-01,1.668549999999999992e-09
2.454035162925720215e+01,-2.640589999999999993e+00,-1.634829999999999982e-06,2.471127200126647949e+01,4.000179999999999847e-01,1.587649999999999992e-09
2.491447663307189941e+01,-2.520599999999999952e+00,-1.162760000000000070e-06,2.508619785308837891e+01,4.000210000000000155e-01,1.500769999999999978e-09
2.527402138710021973e+01,-2.400560000000000027e+00,-8.194340000000000305e-07,2.543058586120605469e+01,4.000210000000000155e-01,1.364890000000000030e-09
2.561807918548583984e+01,-2.280590000000000117e+00,-5.385489999999999873e-07,2.577513098716735840e+01,4.000190000000000135e-01,1.293640000000000095e-09
2.597697806358337402e+01,-2.160330000000000084e+00,-3.604269999999999756e-07,2.613126301765441895e+01,4.000159999999999827e-01,1.229239999999999986e-09
2.631880760192871094e+01,-2.040340000000000042e+00,-2.350229999999999996e-07,2.647430038452148438e+01,4.000159999999999827e-01,1.140619999999999934e-09
2.667581915855407715e+01,-1.920129999999999892e+00,-1.534660000000000059e-07,2.682002973556518555e+01,4.000170000000000115e-01,1.139280000000000020e-09
2.702244639396667480e+01,-1.800140000000000073e+00,-1.012599999999999948e-07,2.717616677284240723e+01,4.000139999999999807e-01,1.029149999999999905e-09
2.737761640548706055e+01,-1.680169999999999941e+00,-6.543970000000000595e-08,2.750114011764526367e+01,4.000190000000000135e-01,1.366320000000000096e-09
2.762710762023925781e+01,-1.560149999999999926e+00,-4.190680000000000174e-08,2.775222134590148926e+01,4.000159999999999827e-01,1.252480000000000001e-09
2.787669777870178223e+01,-1.440150000000000041e+00,-2.637939999999999930e-08,2.799929094314575195e+01,4.000130000000000075e-01,1.197960000000000069e-09
2.812455773353576660e+01,-1.320189999999999975e+00,-1.609220000000000033e-08,2.824902510643005371e+01,4.000099999999999767e-01,1.086819999999999975e-09
2.837463307380676270e+01,-1.200180000000000025e+00,-1.002540000000000056e-08,2.849897146224975586e+01,4.000099999999999767e-01,1.016719999999999980e-09
2.862380838394165039e+01,-1.080160000000000009e+00,-5.976639999999999743e-09,2.874879264831542969e+01,4.000139999999999807e-01,9.387139999999999908e-10
2.887336373329162598e+01,-9.601809999999999512e-01,-3.661159999999999794e-09,2.899650621414184570e+01,4.000119999999999787e-01,8.725289999999999759e-10
2.912100720405578613e+01,-8.401640000000000219e-01,-2.285809999999999989e-09,2.924727654457092285e+01,4.000110000000000054e-01,8.127569999999999676e-10
2.937282419204711914e+01,-7.201589999999999936e-01,-1.414380000000000031e-09,2.949756002426147461e+01,4.000110000000000054e-01,7.465479999999999536e-10
2.962090611457824707e+01,-6.001509999999999900e-01,-8.238790000000000456e-10,2.974681591987609863e+01,4.000110000000000054e-01,6.785870000000000060e-10
2.987104701995849609e+01,-4.801139999999999852e-01,-5.058169999999999915e-10,2.999697589874267578e+01,4.000079999999999747e-01,6.127829999999999507e-10
3.012086486816406250e+01,-3.600829999999999864e-01,-3.031610000000000246e-10,3.024709081649780273e+01,4.000150000000000095e-01,5.565050000000000340e-10
3.038380646705627441e+01,-2.400730000000000086e-01,-1.700519999999999883e-10,3.055406808853149414e+01,4.000170000000000115e-01,5.221009999999999944e-10
3.067925262451171875e+01,-1.200600000000000001e-01,-9.714370000000000338e-11,3.080380582809448242e+01,4.000190000000000135e-01,4.744889999999999731e-10
