# Tue Sep  5 19:18:36 2023
#  Tiempo [s], Voltaje [V], Corriente [A]
#   pw=0, T = 0, nplc=0.5
6.290802240371704102e+00,4.000369999999999759e-01,4.155380000000000248e-07
6.309740066528320312e+00,4.000349999999999739e-01,4.159679999999999830e-07
6.328533649444580078e+00,4.000380000000000047e-01,4.162329999999999923e-07
6.350500822067260742e+00,4.000360000000000027e-01,4.194040000000000146e-07
6.366537332534790039e+00,4.000409999999999799e-01,4.171560000000000066e-07
6.385650396347045898e+00,4.000409999999999799e-01,4.181060000000000250e-07
6.405745506286621094e+00,4.000389999999999779e-01,4.161619999999999912e-07
6.423970699310302734e+00,4.000400000000000067e-01,4.191629999999999795e-07
6.443892240524291992e+00,4.000409999999999799e-01,4.170609999999999783e-07
6.465888023376464844e+00,4.000400000000000067e-01,4.175030000000000030e-07
6.482185840606689453e+00,4.000420000000000087e-01,4.184959999999999908e-07
6.500924587249755859e+00,4.000380000000000047e-01,4.194440000000000070e-07
6.520887613296508789e+00,4.000469999999999859e-01,4.147019999999999768e-07
6.537895441055297852e+00,4.000469999999999859e-01,4.095049999999999866e-07
6.556864261627197266e+00,4.000449999999999839e-01,4.089210000000000126e-07
6.576758623123168945e+00,4.000460000000000127e-01,4.071879999999999798e-07
6.594762802124023438e+00,4.000429999999999819e-01,4.107589999999999792e-07
6.613938093185424805e+00,4.000429999999999819e-01,4.053830000000000242e-07
6.632894754409790039e+00,4.000429999999999819e-01,4.033279999999999969e-07
6.651146411895751953e+00,4.000449999999999839e-01,4.057720000000000153e-07
6.670781612396240234e+00,4.000380000000000047e-01,4.030580000000000084e-07
6.692894220352172852e+00,4.000429999999999819e-01,4.056179999999999995e-07
6.709450006484985352e+00,4.000349999999999739e-01,4.036260000000000171e-07
6.728001594543457031e+00,4.000420000000000087e-01,4.102409999999999741e-07
6.746850013732910156e+00,4.000420000000000087e-01,4.103469999999999885e-07
6.766554594039916992e+00,4.000420000000000087e-01,4.031239999999999773e-07
6.786662340164184570e+00,4.000440000000000107e-01,4.057169999999999794e-07
6.809824466705322266e+00,4.000460000000000127e-01,4.061509999999999951e-07
6.825589656829833984e+00,4.000440000000000107e-01,4.056019999999999814e-07
6.844748973846435547e+00,4.000469999999999859e-01,4.053980000000000148e-07
6.864252090454101562e+00,4.000440000000000107e-01,4.025279999999999897e-07
6.882639646530151367e+00,4.000449999999999839e-01,4.038750000000000083e-07
6.901792764663696289e+00,4.000489999999999879e-01,4.017580000000000166e-07
6.924613714218139648e+00,4.000549999999999939e-01,4.031020000000000053e-07
6.939599037170410156e+00,4.000469999999999859e-01,3.977710000000000220e-07
6.958491325378417969e+00,4.000500000000000167e-01,3.968650000000000005e-07
6.976858139038085938e+00,4.000469999999999859e-01,3.970599999999999834e-07
6.995558500289916992e+00,4.000469999999999859e-01,3.947029999999999842e-07
7.014207839965820312e+00,4.000460000000000127e-01,3.961259999999999831e-07
7.034171581268310547e+00,4.000429999999999819e-01,3.960029999999999760e-07
7.052161931991577148e+00,4.000440000000000107e-01,3.964380000000000192e-07
7.070853948593139648e+00,4.000469999999999859e-01,3.964939999999999768e-07
7.089892625808715820e+00,4.000429999999999819e-01,3.975529999999999865e-07
7.107932567596435547e+00,4.000469999999999859e-01,4.015649999999999830e-07
7.126711845397949219e+00,4.000400000000000067e-01,4.048720000000000006e-07
7.147778987884521484e+00,4.000429999999999819e-01,4.098030000000000069e-07
7.164192199707031250e+00,4.000449999999999839e-01,4.062190000000000193e-07
7.184210300445556641e+00,4.000429999999999819e-01,4.083650000000000174e-07
7.203027963638305664e+00,4.000429999999999819e-01,3.999700000000000008e-07
7.221805572509765625e+00,4.000489999999999879e-01,4.011139999999999745e-07
7.241455316543579102e+00,4.000480000000000147e-01,3.993720000000000110e-07
7.262314319610595703e+00,4.000489999999999879e-01,4.017890000000000252e-07
7.278448343276977539e+00,4.000520000000000187e-01,3.969790000000000239e-07
