Model,DPO3034
Firmware Version,2.16

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.001,
Sample Interval,1e-06,
Record Length,10000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.5,0.5
Label,,
TIME,CH1,CH2
-2.1400e-03,-0.01,0.12
-2.1390e-03,0.03,0.1
-2.1380e-03,0.03,0.12
-2.1370e-03,0.01,0.12
-2.1360e-03,0.03,0.08
-2.1350e-03,0.01,0.14
-2.1340e-03,-0.01,0.1
-2.1330e-03,0.01,0.1
-2.1320e-03,-0.01,0.18
-2.1310e-03,0.01,0.12
-2.1300e-03,0.03,0.1
-2.1290e-03,0.03,0.1
-2.1280e-03,0.03,0.1
-2.1270e-03,0.03,0.08
-2.1260e-03,0.03,0.16
-2.1250e-03,-0.03,0.08
-2.1240e-03,0.03,0.12
-2.1230e-03,0.05,0.1
-2.1220e-03,0.01,0.12
-2.1210e-03,0.03,0.12
-2.1200e-03,-0.01,0.08
-2.1190e-03,-0.01,0.12
-2.1180e-03,0.01,0.14
-2.1170e-03,0.03,0.12
-2.1160e-03,0.01,0.1
-2.1150e-03,0.01,0.1
-2.1140e-03,0.01,0.12
-2.1130e-03,0.03,0.1
-2.1120e-03,0.01,0.12
-2.1110e-03,0.01,0.12
-2.1100e-03,-0.01,0.14
-2.1090e-03,0.01,0.1
-2.1080e-03,0.03,0.08
-2.1070e-03,-0.01,0.08
-2.1060e-03,0.01,0.06
-2.1050e-03,0.03,0.14
-2.1040e-03,-0.03,0.08
-2.1030e-03,0.01,0.14
-2.1020e-03,0.03,0.12
-2.1010e-03,-0.01,0.1
-2.1000e-03,0.03,0.14
-2.0990e-03,0.01,0.14
-2.0980e-03,-0.01,0.1
-2.0970e-03,-0.03,0.08
-2.0960e-03,0.03,0.1
-2.0950e-03,0.01,0.1
-2.0940e-03,0.01,0.08
-2.0930e-03,0.01,0.1
-2.0920e-03,0.01,0.1
-2.0910e-03,0.01,0.12
-2.0900e-03,0.01,0.06
-2.0890e-03,0.03,0.1
-2.0880e-03,0.01,0.12
-2.0870e-03,0.01,0.12
-2.0860e-03,0.01,0.08
-2.0850e-03,0.05,0.1
-2.0840e-03,0.01,0.12
-2.0830e-03,-0.01,0.1
-2.0820e-03,0.03,0.1
-2.0810e-03,-0.01,0.08
-2.0800e-03,0.01,0.1
-2.0790e-03,0.01,0.08
-2.0780e-03,0.01,0.06
-2.0770e-03,0.01,0.12
-2.0760e-03,-0.01,0.1
-2.0750e-03,-0.03,0.08
-2.0740e-03,-0.01,0.12
-2.0730e-03,-0.01,0.14
-2.0720e-03,0.03,0.08
-2.0710e-03,0.01,0.08
-2.0700e-03,-0.01,0.1
-2.0690e-03,0.03,0.08
-2.0680e-03,0.03,0.1
-2.0670e-03,0.01,0.12
-2.0660e-03,-0.01,0.1
-2.0650e-03,0.01,0.12
-2.0640e-03,-0.03,0.12
-2.0630e-03,0.01,0.06
-2.0620e-03,0.01,0.08
-2.0610e-03,0.03,0.08
-2.0600e-03,0.01,0.06
-2.0590e-03,0.03,0.14
-2.0580e-03,0.01,0.12
-2.0570e-03,0.01,0.14
-2.0560e-03,0.01,0.08
-2.0550e-03,0.01,0.1
-2.0540e-03,0.05,0.12
-2.0530e-03,0.05,0.14
-2.0520e-03,0.01,0.12
-2.0510e-03,0.03,0.08
-2.0500e-03,-0.01,0.08
-2.0490e-03,-0.01,0.06
-2.0480e-03,0.01,0.1
-2.0470e-03,0.01,0.1
-2.0460e-03,0.03,0.1
-2.0450e-03,0.01,0.14
-2.0440e-03,-0.01,0.12
-2.0430e-03,-0.01,0.1
-2.0420e-03,0.01,0.04
-2.0410e-03,0.01,0.08
-2.0400e-03,0.05,0.1
-2.0390e-03,0.03,0.1
-2.0380e-03,0.01,0.1
-2.0370e-03,-0.01,0.1
-2.0360e-03,0.03,0.08
-2.0350e-03,-0.01,0.04
-2.0340e-03,0.01,0.08
-2.0330e-03,0.03,0.12
-2.0320e-03,-0.01,0.08
-2.0310e-03,0.03,0.08
-2.0300e-03,0.01,0.12
-2.0290e-03,-0.01,0.12
-2.0280e-03,0.01,0.08
-2.0270e-03,0.03,0.08
